Question,Subject,Answer,A,B,C,D
জাতিসংঘের কোন সংস্থাটি করোনা ভাইরাসকে ‘Pandemic’ ঘোষণা করেছে?,INTERNATIONAL-AFFAIRS,C,ECOSOC,FAO,WHO,HRC
যুক্তরাষ্ট্রের রাষ্ট্রপতি নির্বাচনে ডেমোক্রেটিক দলের মনোনয়নের জন্য ন্যূনতম কতজন ডেলিগেটের সমর্থন প্রয়োজন?,INTERNATIONAL-AFFAIRS,B,২৫০০,১৯৯১,১৯৫০,১৮৯০
ট্রান্সপারেন্সি ইন্টারন্যাশনাল কোন দেশ ভিত্তিক আন্তর্জাতিক সংস্থা?,INTERNATIONAL-AFFAIRS,D,সুইডেন,মার্কিন যুক্তরাষ্ট্র,যুক্তরাজ্য,জার্মানি
সামরিক ভাষায় ‘WMD’ অর্থ কী?,INTERNATIONAL-AFFAIRS,A,Weapons of Mass Destruction,Worldwide Mass Destruction,Weapons of Missile Defence,Weapons for Massive Destruction
২০২০ সালে প্রকাশিত ‘আইনের শাসন’ সূচকে শীর্ষস্থান অর্জনকারী দেশের নাম কী?,INTERNATIONAL-AFFAIRS,A,ডেনমার্ক,নরওয়ে,জার্মানি,সিঙ্গাপুর
ইনকা সভ্যতা কোন অঞ্চলে বিরাজমান ছিল?,INTERNATIONAL-AFFAIRS,A,দক্ষিণ আমেরিকা,আফ্রিকা,মধ্যপ্রাচ্য,ইউরোপ
নিচের কোন দেশটিতে রাশিয়ার সামরিক ঘাঁটির সুবিধা বিদ্যমান?,INTERNATIONAL-AFFAIRS,B,কিউবা,ভিয়েতনাম,উজবেকিস্তান,সোমালিয়া
ফিনল্যান্ড কোন দেশের উপনিবেশ ছিল?,INTERNATIONAL-AFFAIRS,C,রাশিয়া,ডেনমার্ক,সুইডেন,ইংল্যান্ড
এশিয়াকে আফ্রিকা মহাদেশ থেকে পৃথক করেছে কোন প্রণালী?,INTERNATIONAL-AFFAIRS,C,জিব্রাল্টার প্রণালী,বসফরাস প্রণালী,বাবেল মান্দেব প্রণালী,বেরিং প্রণালী
জাতিসংঘের কোন সংস্থা বার্ষিক বিশ্ব বিনিয়োগ প্রতিবেদন প্রকাশ করে?,INTERNATIONAL-AFFAIRS,D,WTO,MIGA,World Bank,UNCTAD
আন্তর্জাতিক আদালতে মিয়ানমার কর্তৃক রোহিঙ্গা গণহত্যার অভিযোগে মামলা করে কোন দেশ?,INTERNATIONAL-AFFAIRS,B,নাইজেরিয়া,গাম্বিয়া,বাংলাদেশ,আলজেরিয়া
কোন বিদেশি রাষ্ট্র বাংলাকে অন্যতম রাষ্ট্রভাষার মর্যাদা দিয়েছে?,INTERNATIONAL-AFFAIRS,B,রুয়ান্ডা,সিয়েরালিয়ন,সুদান,লাইবেরিয়া
জাতিসংঘ নামকরণ করেন-,INTERNATIONAL-AFFAIRS,A,রুজভেল্ট,স্টালিন,চার্চিল,দ্যা গল
কোন মুসলিম দেশ সামরিক জোট ন্যাটোর সদস্য?,INTERNATIONAL-AFFAIRS,D,সৌদি আরব,মালয়েশিয়া,পাকিস্তান,তুরস্ক
নর্থ আটলান্টিক ট্রিটি অর্গানাইজেশন কোন বছর প্রতিষ্ঠিত হয়?,INTERNATIONAL-AFFAIRS,B,১৯৪৫ সালে,১৯৪৯ সালে,১৯৪৮ সালে,১৯৫১ সালে
জার্মানীর প্রথম নারী চ্যান্সেলর কে?,INTERNATIONAL-AFFAIRS,C,অ্যানেগরেট ক্রাম্প,লিনা হেডরিচ,অ্যাঞ্জেলা মারকেল,পেট্রা কেলি
একই পরিমাণ বৃষ্টিপাত অঞ্চলসমূহকে যে কাল্পনিক রেখার সাহায্যে দেখানো হয় তার নাম-,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,B,আইসোপ্লিথ,আইসোহাইট,আইসোহ্যালাইন,আইসোথার্ম
বাংলাদেশের সবচেয়ে প্রাচীন বসতি কোনটি?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,B,ময়নামতি,পুণ্ড্রবর্ধন,পাহাড়পুর,সোনারগাঁ
নিচের কোনটি সত্য নয়?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,B,ইরাবতী মায়ানমারের একটি নদী,গোবী মরুভূমি ভারতে অবস্থিত,থর মরুভূমি ভারতের পশ্চিমাংশে অবস্থিত,সাজেক ভ্যালি বাংলাদেশে অবস্থিত
দক্ষিণ গোলার্ধে উষ্ণতম মাস কোনটি?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,A,জানুয়ারি,ফেব্রুয়ারি,ডিসেম্বর,মে
মার্বেল কোন ধরনের শিলা?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,A,রূপান্তরিত শিলা,আগ্নেয় শিলা,পাললিক শিলা,মিশ্র শিলা
মধ্যম উচ্চতার মেঘ কোনটি?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,C,সিরাস,নিম্বাস,কিউম্যুলাস,স্ট্রেটাস
‘বেঙ্গল ফ্যান’- ভূমিরূপটি কোথায় অবস্থিত?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,B,মধুপুর গড়ে,বঙ্গোপসাগরে,হাওর অঞ্চলে,টারশিয়ারি পাহাড়ে
UDMC এর পূর্ণরূপ হলো-,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,B,United Disaster Management Centne,Union Disaster Management Committee,Union Disaster Management Centre,none of the above
২০১৫ সালের প্যারিস চুক্তির সাথে সম্পর্কিত বিষয়বস্তু হলো:,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,B,আপদ ঝুঁকি হ্রাস,জলবায়ু পরিবর্তন হ্রাস,জনসংখ্যা বৃদ্ধি হ্রাস,সমুদ্র পরিবহন ব্যব্স্থাপনা
‘বঙ্গবন্ধু দ্বীপ’- কোথায় অবস্থিত?,GEOGRAPHY-ENVIRONMENT-AND-DIGESTER-MANAGEMENT,B,মেঘনা মোহনায়,সুন্দরবনের দক্ষিণে,পদ্মা এবং যমুনার সংযোগস্থলে,টেকনাফের দক্ষিণে
আলোকবর্ষ ব্যবহার করে কী পরিমাপ করা হয়?,GENERAL-SCIENCE,A,দূরত্ব,সময়,ভর,ওজন
সূর্যের নিকটতম নক্ষত্রের নাম-,GENERAL-SCIENCE,B,ভেগা,প্রক্সিমা সেন্টাউরি,আলফা সেন্টউরি A,আলফা সেন্টাউরি B
১০০ ওয়াট-এর একটি বৈদ্যুতিক বাল্ব ১ ঘণ্টা চললে কত শক্তি ব্যয় হয়?,GENERAL-SCIENCE,D,১০০ জুল,৬০ জুল,৬০০০ জুল,৩৬০০০০ জুল
ইলেকট্রিক বাল্ব-এর ফিলামেন্ট যার দ্বারা তৈরি-,GENERAL-SCIENCE,C,আয়রন,কার্বন,টাংস্টেন,লেড
গ্রাফিন (graphene) কার বহুরূপী?,GENERAL-SCIENCE,A,কার্বন,কার্বন ও অক্সিজেন,কার্বন ও হাইড্রোজেন,কার্বন ও নাইট্রোজেন
আইনস্টাইন নোবেল পুরস্কার পান-,GENERAL-SCIENCE,D,আপেক্ষিক তত্ত্বের উপর,মহাকর্ষীয় ধ্রুবক আবিষ্কারের জন্য,কৃষ্ণগহ্বর আবিষ্কারের জন্য,আলোক তড়িৎ ক্রিয়ার ব্যাখ্যা প্রদানের জন্য
মানবদেহে লোহিত কণিকার আয়ুষ্কাল কত দিন?,GENERAL-SCIENCE,D,৭ দিন,৩০ দিন,১৮০ দিন,উপরের কোনটিই নয়
নদীর পানির ক্ষেত্রে কোনটি সত্য?,GENERAL-SCIENCE,A,COD > BOD,COD < BOD,COD = BOD,উপরের কোনটিই নয়
পাথফাইন্ডার- এর মঙ্গলে অবতরণ সাল-,GENERAL-SCIENCE,C,১৯৯০,১৯৯৫,১৯৯৭,২০০০
ওজোন স্তর বায়ুমণ্ডলের কোন স্তরে অবস্থিত?,GENERAL-SCIENCE,A,স্ট্রাটোমণ্ডল,ট্রপোমণ্ডল,মেসোমণ্ডল,তাপমণ্ডল
কাঁদুনে গ্যাসের অপর নাম কী?,GENERAL-SCIENCE,A,ক্লোরোপিক্রিন,মিথেন,নাইট্রোজেন,ইথেন
কোন পানিতে অক্সিজেনের পরিমাণ বেশি?,GENERAL-SCIENCE,C,পুকুরের পানিতে,লেকের পানিতে,নদীর পানিতে,সাগরের পানিতে
হার্ট থেকে রক্ত বাইরে নিয়ে যায় যে রক্তনালী-,GENERAL-SCIENCE,B,ভেইন,আর্টারি,ক্যাপিলারি,নার্ভ
প্রোটিন তৈরি হয়-,GENERAL-SCIENCE,C,ফ্যাটি অ্যাসিড দিয়ে,নিউক্লিক অ্যাসিড দিয়ে,অ্যামিনো অ্যাসিড দিয়ে,উপরের কোনটিই নয়
কোনটি পানিতে দ্রবীভূত হয় না?,GENERAL-SCIENCE,D,গ্লিসারিন,ফিটকিরি,সোডিয়াম ক্লোরাইড,ক্যালসিয়াম কার্বোনেট
যে ইলেক্ট্রনিক লজিক গেইটের আউটপুট লজিক 0 শুধুমাত্র যখন সকল ইনপুট লজিক 1 তার নাম-,COMPUTER-AND-INFORMATION-TECHNOLOGY,C,AND গেইট,OR গেইট,NAND গেইট,উপরের কোনটিই নয়
নিচের কোনটির যোগাযোগের দূরত্ব সবচেয়ে কম?,COMPUTER-AND-INFORMATION-TECHNOLOGY,B,Wi-Fi,Bluetooth,Wi-Max,Cellular network
নিচের কোনটি ১০০ এর ১ কমপ্লিমেন্ট?,COMPUTER-AND-INFORMATION-TECHNOLOGY,C,১১১,১০১,০১১,০০১
RFID বলতে বুঝায়-,COMPUTER-AND-INFORMATION-TECHNOLOGY,D,Random Frequency Identification,Random Frequency Information,Radio Frequency Information,Radio Frequency Identification
নিচের কোনটি সঠিক নয়?,COMPUTER-AND-INFORMATION-TECHNOLOGY,B,\((\overline {\mathrm {A+B}}) = \mathrm {\bar A .\bar B }\),\((\overline {\mathrm {A+B}}) = \mathrm {\bar A +\bar B }\),\((\overline {\mathrm {A.B.C}}) = \mathrm {\bar A +\bar B+ \bar C }\),\((\overline {\mathrm {A+B+C}}) = \mathrm {\bar A .\bar B. \bar C }\)
Apache এক ধরনের-,COMPUTER-AND-INFORMATION-TECHNOLOGY,B,Database Management System (DBMS),Web Server,Web Browser,Protocol
ক্লাউড কম্পিউটিং এর সার্ভিস মডেল কোনটি?,COMPUTER-AND-INFORMATION-TECHNOLOGY,D,অবকাঠামোগত,প্লাটফর্মভিত্তিক,সফটওয়্যার,উপরের সবগুলো
কোন নেটওয়ার্ক টপোলজিতে হাব (hub) ব্যবহার করা হয়?,COMPUTER-AND-INFORMATION-TECHNOLOGY,C,বাস টপোলজি,রিং টপোলজি,স্টার টপোলজি,ট্রি টপোলজি
একটি কম্পিউটার boot করতে পারে না যদি তাতে না থাকে-,COMPUTER-AND-INFORMATION-TECHNOLOGY,C,Compiler,Loader,Operating system,Bootstrap
